user_id,cookie_id,start_date
1,c4ca42,"2020-02-04 00:00:00"
2,c81e72,"2020-01-18 00:00:00"
3,eccbc8,"2020-02-21 00:00:00"
4,a87ff6,"2020-02-22 00:00:00"
5,e4da3b,"2020-02-01 00:00:00"
6,167909,"2020-01-25 00:00:00"
7,8f14e4,"2020-02-09 00:00:00"
8,c9f0f8,"2020-02-12 00:00:00"
9,45c48c,"2020-02-07 00:00:00"
10,d3d944,"2020-01-23 00:00:00"
11,6512bd,"2020-01-17 00:00:00"
12,c20ad4,"2020-02-06 00:00:00"
13,c51ce4,"2020-02-12 00:00:00"
14,aab323,"2020-01-12 00:00:00"
15,9bf31c,"2020-01-28 00:00:00"
16,c74d97,"2020-01-06 00:00:00"
17,70efdf,"2020-02-17 00:00:00"
18,6f4922,"2020-02-29 00:00:00"
19,1f0e3d,"2020-02-11 00:00:00"
20,98f137,"2020-02-12 00:00:00"
21,3c59dc,"2020-02-14 00:00:00"
22,b6d767,"2020-02-08 00:00:00"
23,37693c,"2020-01-16 00:00:00"
24,1ff1de,"2020-01-23 00:00:00"
25,8e296a,"2020-01-08 00:00:00"
26,4e732c,"2020-01-26 00:00:00"
27,02e74f,"2020-01-31 00:00:00"
28,33e75f,"2020-02-29 00:00:00"
29,6ea9ab,"2020-01-10 00:00:00"
30,34173c,"2020-02-02 00:00:00"
31,c16a53,"2020-02-13 00:00:00"
32,6364d3,"2020-02-17 00:00:00"
33,182be0,"2020-02-03 00:00:00"
34,e36985,"2020-02-24 00:00:00"
35,1c383c,"2020-01-22 00:00:00"
36,19ca14,"2020-02-14 00:00:00"
37,a5bfc9,"2020-02-03 00:00:00"
38,a5771b,"2020-01-28 00:00:00"
39,d67d8a,"2020-01-13 00:00:00"
40,d64592,"2020-02-07 00:00:00"
41,3416a7,"2020-01-09 00:00:00"
42,a1d0c6,"2020-02-29 00:00:00"
43,17e621,"2020-02-22 00:00:00"
44,f71771,"2020-01-08 00:00:00"
45,6c8349,"2020-02-09 00:00:00"
46,d9d4f4,"2020-01-25 00:00:00"
47,67c6a1,"2020-02-20 00:00:00"
48,642e92,"2020-02-21 00:00:00"
49,f457c5,"2020-01-07 00:00:00"
50,c0c7c7,"2020-02-13 00:00:00"
